predlozhenie;na_skolki_stranicah;primer_slugov
применяется в колодцах и камерах запроектированных по этой серии размеры и опирание у неё свои заменять её типовой пп нельзя;5;pk-10 pk-12 pk-15 pk-20 pk-25
пришлите спецификацию по фундаменту посчитаем и распишем поставку по машинам под график работ на площадке;5;bryansk lipetsk smolensk tambov voronezh
пришлите спецификацию посчитаем позиции и доставку одной суммой за часа;5;dobornye-elementy-kanalov lotki-l-3006-1-2-87 lotki-lk-3006-1-8 plity-p-3006-1-2-87 plity-pt-3006-1-8
работаем по серии;5;lekalnye-bloki-bl otkosnye-stenki plity-perekrytiya-kanalov-vp portalnye-stenki-stk zvenya-ploskoe-opiranie-zkp
работаем с юрлицами договор безнал отсрочка для подрядчиков паспорт качества на каждую партию;5;kksr-3 lp-8-1 opornye-plity-op pd-15 vp-18
работаем с юрлицами и ип по договору безналичный расчёт счёт с ндс паспорт качества на партию отсрочка постоянным подрядчикам;5;kursk lipetsk oryol tambov voronezh
разгрузка от машины;5;kursk oplata-i-dostavka oryol smolensk tula
с чем комплектуется ставится в лаз плиты перекрытия;5;db dk lch-l lch-t lch-tmr
со звеньями зкп на плоском опирании лекальные блоки не нужны;5;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a lekalnye-bloki-bl
такие кольца ставят на коллекторах и в узлах с несколькими вводами где полутора метров уже мало;5;ks-20-10 ks-20-3 ks-20-5 ks-20-6 ks-20-9
частые вопросы как выбрать между лёгким и тяжёлым;5;db dk lch-l lch-t lch-tmr
чугун держит нагрузку и не разрушается от перепадов температуры в отличие от бетонных и композитных крышек в тяжёлых условиях;5;db dk lch-l lch-t lch-tmr
блок фундаментный длина мм основной блок им выкладывают прямые участки ленты;4;fbs-24-3-6 fbs-24-4-6 fbs-24-5-6 fbs-24-6-6
блок фундаментный длина мм самый короткий добор в ряду;4;fbs-6-3-6 fbs-6-4-3 fbs-6-4-6 fbs-6-5-6
блоки длиной м основные ими набирают длину трубы блоки длиной м с буквой а доборные ими добирают остаток;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
в газоне можно обойтись без неё;4;kco-3 op-1d op-1k uop-6
в спецификациях встречаются оба обозначения;4;stk-10 stk-11 stk-12 stk-13
водопроводный колодец с горловиной унифицированный колодец готовый комплект по типовому решению а не набор позиций который снабженец собирает сам;4;vg-10 vg-12 vg-15 vg-20
вп плиты перекрытия каналов камер и коллекторов;4;bryansk lipetsk vladimir voronezh
высоту горловины набирают комбинацией опорных колец добирая до уровня покрытия;4;k1-a ko-1 ko-1-5 ko-6
длиной основной мм доборный мм;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
доборными выравнивают остаток длины трубы;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
довезёте на объект;4;blok-protivofiltratsionnogo-ekrana koltsa-s-dnom-ktsd vodopropusknye-truby-zk zvenya-ploskoe-opiranie-zkp
им закрывают остаток когда до конца участка меньше метра;4;fbs-6-3-6 fbs-6-4-3 fbs-6-4-6 fbs-6-5-6
им набирают остаток глубины когда основные кольца уложены а до проектной отметки не хватает четверти метра;4;ks-10-3 ks-15-3 ks-20-3 ks-7-3
индекс после дефиса обозначает исполнение по типу отверстия;4;kco-3 op-1d op-1k uop-6
как подобрать блок под звено;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
как разгружается машина на объекте;4;kursk oryol smolensk tula
кольцо стеновое высота мм основной рабочий типоразмер из таких колец набирают тело шахты а остаток добирают доборными;4;ks-10-9 ks-15-9 ks-20-9 ks-7-9
кольцо стеновое доборное кольцо высотой мм;4;ks-10-3 ks-15-3 ks-20-3 ks-7-3
кольцо стеновое кольцо высотой мм половина рабочего;4;ks-10-5 ks-15-5 ks-20-5 ks-7-5
крупногабарит идёт длинномером разгрузка от машины;4;lipetsk smolensk tambov voronezh
марку подбирают под диаметр звеньев трубы;4;stk-1 stk-2 stk-6 stk-8
на трубу длиной м уйдёт таких блоков;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
номер в скобках позиция по альбому серии;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
нужны ли блоки под зкп;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
обычно набирают не больше трёх выше горловину лучше выводить кольцом кс малого диаметра иначе узел теряет жёсткость;4;k1-a ko-1 ko-1-5 ko-6
обязательна там где колодец попадает в проезжую часть;4;kco-3 op-1d op-1k uop-6
отгружаем шириной и см по блоки фбс;4;bryansk smolensk tambov tver
по наружному диаметру звена ложе блока должно с ним совпасть;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
по торцам трубы идут оголовки портальная стенка и пара откосных;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
под меньший диаметр под больший;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
под проезжей частью да без неё нагрузка от колеса идёт прямо на верхнее кольцо и колодец разрушается по стыку;4;kco-3 op-1d op-1k uop-6
полезное по теме если подбираете позицию впервые эти разборы экономят время крышки колодцев пп пк пвг чем отличаются чем пп отличается от пк и пвг опорная плита оп или крышка пп чем отличаются и что заказывать крышка или опорная плита что заказывать рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;4;pk-10 pp-25-2 pp-8-1 pvg-15
полезное по теме если подбираете позицию впервые эти разборы экономят время лекальные блоки бл зачем нужны под звенья труб зачем блок под трубой комплект водопропускной трубы что ещё входит в комплект рядом в ряду другие марки этого раздела весь ряд в разделе каталога;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
полезное по теме если подбираете позицию впервые эти разборы экономят время опорная плита оп или крышка пп чем отличаются и что заказывать опорная плита или крышка в чём разница крышки колодцев пп пк пвг чем отличаются что ставится над опорной плитой рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;4;kco-3 op-1d op-1k uop-6
полезное по теме если подбираете позицию впервые эти разборы экономят время сколько колец нужно для колодца считаем по глубине сколько колец нужно на вашу глубину как собрать колодец комплектом снизу вверх по порядок сборки колодца снизу вверх дренажный колодец из бетонных колец устройство и подбор если колодец дренажный а не смотровой рядом в ряду другие марки этого раздела весь ряд с размерами и массами в разделе каталога;4;k1-a ko-1 ko-1-5 ko-6
пришлите проект трубы подберём диаметр длину и посчитаем комплект;4;kursk oryol smolensk tula
пустотных плит пк и пб для зданий у нас нет;4;bryansk lipetsk vladimir voronezh
с чем комплектуется кладётся в основание под звенья зк по всей длине трубы;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
с чем комплектуется ложится поверх плиты перекрытия колодца в её отверстие ставится люк или решётка;4;kco-3 op-1d op-1k uop-6
с чем комплектуется ставится между плитой перекрытия и люком;4;k1-a ko-1 ko-1-5 ko-6
сверху у блока вогнутое ложе по форме трубы звено ложится в него и не смещается вбок а нагрузка от трубы равномерно передаётся на основание;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
ставится в связке с основными чтобы выйти на проектную отметку без подрезки бетона;4;ks-10-5 ks-15-5 ks-20-5 ks-7-5
типоразмер под кольцо насосные узлы и коллекторные камеры;4;pk-25 pn-25 pp-25-2 pvg-25
у зкп плоская опорная часть звено ставится прямо на подготовленное основание;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
характеристики водопроводный колодец с горловиной как читается марка вг тип колодца по типовой серии число диаметр рабочей камеры в дециметрах мм;4;vg-10 vg-12 vg-15 vg-20
характеристики как читается марка откосные стенки идут в том же ряду стк что и портальные но с другими номерами а в старой маркировке;4;stk-10 stk-11 stk-12 stk-13
частые вопросы обязательна ли опорная плита;4;kco-3 op-1d op-1k uop-6
частые вопросы сколько опорных колец можно ставить друг на друга;4;k1-a ko-1 ko-1-5 ko-6
чем отличается доборный блок;4;bl-1-201-4 bl-1-201-4a bl-4-201-8 bl-4-201-8a
число в марке высота изделия в сантиметрах;4;k1-a ko-1 ko-1-5 ko-6
ширина мм под тонкую стену перегородки внутренние несущие в малоэтажке;4;fbs-12-3-6 fbs-24-3-6 fbs-6-3-6 fbs-9-3-6
ширина мм усиленный вариант под повышенную нагрузку;4;fbs-12-5-6 fbs-24-5-6 fbs-6-5-6 fbs-9-5-6
водопроводный колодец унифицированный колодец готовый комплект по типовому решению а не набор позиций который снабженец собирает сам;3;vs-10 vs-12 vs-15
возьмёте объём фбс на весь фундамент;3;smolensk tver voronezh
высота мм доборный по высоте выравнивает отметку верха ленты;3;fbs-12-4-3 fbs-6-4-3 fbs-9-4-3
да длинномером по москве области и цфо с разгрузкой;3;blok-protivofiltratsionnogo-ekrana vodopropusknye-truby-zk zvenya-ploskoe-opiranie-zkp
да это обычная для нас поставка звенья зк или зкп лекальные блоки портальные и откосные стенки одной машиной;3;kursk oryol smolensk
дадите документы на партию;3;dorozhnomu-podryadchiku zastroyshchiku zhkh-i-vodokanalu
дальнее плечо не будет ли доставка дороже самих изделий;3;lipetsk tambov voronezh
доставка на объект по москве области и цфо;3;kontakty vodopropusknaya-truba-komplekt zhbi-dlya-teplotrass
комплект собираем целиком а не россыпью кольца кс нужной высоты опорная плита под люк перекрытие;3;lipetsk oryol voronezh
логистику считаем по адресу площадки массе и габаритам и называем заранее;3;lipetsk tambov voronezh
можно собрать комплект водопропускной трубы целиком;3;kursk oryol smolensk
опт и доставка на объект по москве области и цфо;3;catalog glavnaya home
от диаметра прутка или мм;3;kl lestnicy-dlya-kolodcev vl-2
от чего зависит цена;3;kl lestnicy-dlya-kolodcev vl-2
отгружаем лотки полулотки нкл и плиты днища комплектуем под сечение канала непроходные каналы нкл;3;bryansk oryol tambov
отсрочка и договор;3;dorozhnomu-podryadchiku zastroyshchiku zhkh-i-vodokanalu
паспорт на партию;3;dorozhnomu-podryadchiku zastroyshchiku zhkh-i-vodokanalu
плита плита горловины по альбому;3;pvg-15 pvg-20 pvg-25
под объём нет;3;lipetsk tambov voronezh
под проезды тяжёлого транспорта колодец собирают под соответствующий класс нагрузки кольца кс опорные плиты оп;3;bryansk kursk oryol
работаете с отсрочкой;3;dorozhnomu-podryadchiku zastroyshchiku zhkh-i-vodokanalu
ставится в колодцах собранных по этой серии там геометрия узла отличается от типовой и обычная плита перекрытия не подойдёт;3;pvg-15 pvg-20 pvg-25
технические данные изготавливаются по серии армируются бетон и морозостойкость под условия автодороги;3;lekalnye-bloki-bl otkosnye-stenki portalnye-stenki-stk
типоразмер под кольцо малые смотровые дренажные и кабельные колодцы;3;kcd-7-10 kcd-7-9 pn-7
характеристики водопроводный колодец как читается марка вс тип колодца по типовой серии число диаметр рабочей камеры в дециметрах мм;3;vs-10 vs-12 vs-15
характеристики опорное кольцо как читается марка ко кольцо опорное;3;ko-1 ko-1-5 ko-6
цены по запросу;3;dorozhnomu-podryadchiku zastroyshchiku zhkh-i-vodokanalu
ширина мм максимум ряда тяжёлые промышленные стены и подпорные конструкции;3;fbs-12-6-6 fbs-24-6-6 fbs-9-6-6
